2026-02-10 22:59:16.455654	192.168.2.10 is offline
2026-02-10 22:59:16.951029	192.168.0.10 is offline
2026-02-10 22:59:17.453296	192.168.0.11 is offline
2026-02-10 22:59:17.954245	192.168.0.12 is offline
2026-02-10 22:59:18.443643	192.168.0.13 is offline
2026-02-10 22:59:18.952034	192.168.0.14 is offline
2026-02-10 22:59:19.444813	192.168.0.15 is offline
2026-02-10 22:59:19.945344	192.168.0.16 is offline
2026-02-10 22:59:20.442909	192.168.0.17 is offline
2026-02-10 22:59:20.939950	192.168.0.18 is offline
2026-02-10 22:59:21.443129	192.168.0.19 is offline
2026-02-10 22:59:21.944128	192.168.0.110 is offline
2026-02-10 22:59:22.442243	192.168.0.111 is offline
2026-02-10 22:59:22.955995	192.168.0.112 is offline
2026-02-10 22:59:23.471946	192.168.0.113 is offline
2026-02-10 22:59:23.953765	192.168.0.114 is offline
2026-02-10 22:59:24.441432	192.168.0.115 is offline
2026-02-10 23:36:57.957079	192.168.2.10 is offline
2026-02-10 23:36:58.452887	192.168.0.10 is offline
2026-02-10 23:36:58.951974	192.168.0.11 is offline
2026-02-10 23:36:59.454551	192.168.0.12 is offline
2026-02-10 23:36:59.945053	192.168.0.13 is offline
2026-02-10 23:37:00.451888	192.168.0.14 is offline
2026-02-10 23:37:00.946091	192.168.0.15 is offline
2026-02-10 23:37:01.443226	192.168.0.16 is offline
2026-02-10 23:37:01.948340	192.168.0.17 is offline
2026-02-10 23:37:02.444602	192.168.0.18 is offline
2026-02-10 23:37:02.942074	192.168.0.19 is offline
2026-02-10 23:37:03.442797	192.168.0.110 is offline
2026-02-10 23:37:03.957043	192.168.0.111 is offline
2026-02-10 23:37:04.457538	192.168.0.112 is offline
2026-02-10 23:37:04.952452	192.168.0.113 is offline
2026-02-10 23:37:05.453586	192.168.0.114 is offline
2026-02-10 23:37:05.961424	192.168.0.115 is offline
